County,City,ZIP_Code
Wayne,Dublin,47335
Blackford,Dunkirk,47336
Henry,Dunreith,47337
Delaware,Eaton,47338
Wayne,Economy,47339
Randolph,Farmland,47340
Wayne,Fountain City,47341
Delaware,Gaston,47342
Henry,Greensboro,47344
Wayne,Greens Fork,47345
Wayne,Hagerstown,47346
Blackford,Hartford City,47348
Henry,Kennard,47351
Henry,Lewisville,47352
Union,Liberty,47353
Randolph,Losantville,47354
Randolph,Lynn,47355
Henry,Middletown,47356
Wayne,Milton,47357
Randolph,Modoc,47358
Blackford,Montpelier,47359
Henry,Mooreland,47360
Henry,Mount Summit,47361
Henry,New Castle,47362
Henry,New Lisbon,47366
Delaware,Oakville,47367
Randolph,Parker City,47368
Jay,Pennville,47369
Wayne,Pershing,47370
Jay,Portland,47371
Jay,Redkey,47373
Wayne,Richmond,47374
Wayne,Richmond,47375
Randolph,Ridgeville,47380
Jay,Salamonia,47381
Randolph,Saratoga,47382
Delaware,Selma,47383
Henry,Shirley,47384
Henry,Spiceland,47385
Henry,Springport,47386
Henry,Straughn,47387
Henry,Sulphur Springs,47388
Randolph,Union City,47390
Wayne,Webster,47392
Wayne,Williamsburg,47393
Randolph,Winchester,47394
Delaware,Yorktown,47396
Monroe,Bloomington,47401
Monroe,Bloomington,47402
Monroe,Bloomington,47403
Monroe,Bloomington,47404
Monroe,Bloomington,47405
Monroe,Bloomington,47406
Monroe,Bloomington,47407
Monroe,Bloomington,47408
Lawrence,Avoca,47420
Lawrence,Bedford,47421
Greene,Bloomfield,47424
Monroe,Clear Creek,47426
Owen,Coal City,47427
Monroe,Ellettsville,47429
Lawrence,Fort Ritner,47430
Owen,Freedom,47431
Orange,French Lick,47432
Owen,Gosport,47433
Monroe,Harrodsburg,47434
Brown,Helmsburg,47435
Lawrence,Heltonville,47436
Lawrence,Huron,47437
Greene,Jasonville,47438
Greene,Koleen,47439
Greene,Linton,47441
Greene,Lyons,47443
Greene,Midland,47445
Lawrence,Mitchell,47446
Brown,Nashville,47448
Greene,Newberry,47449
Lawrence,Oolitic,47451
Orange,Orleans,47452
Greene,Owensburg,47453
Orange,Paoli,47454
Owen,Patricksburg,47455
Owen,Quincy,47456
Martin,Scotland,47457
Monroe,Smithville,47458
Greene,Solsberry,47459
Owen,Spencer,47460
Lawrence,Springville,47462
Monroe,Stanford,47463
Monroe,Stinesville,47464
Greene,Switz City,47465
Lawrence,Tunnelton,47467
Monroe,Unionville,47468
Orange,West Baden Springs,47469
Lawrence,Williams,47470
Greene,Worthington,47471
Monroe,Bloomington,47490
Daviess,Washington,47501
Knox,Bicknell,47512
Dubois,Birdseye,47513
Perry,Branchville,47514
Perry,Bristow,47515
Knox,Bruceville,47516
Daviess,Cannelburg,47519
Perry,Cannelton,47520
Dubois,Celestine,47521
Martin,Crane,47522
Spencer,Dale,47523
Knox,Decker,47524
Perry,Derby,47525
Dubois,Dubois,47527
Knox,Edwardsport,47528
Daviess,Elnora,47529
Spencer,Evanston,47531
Dubois,Ferdinand,47532
Knox,Freelandville,47535
Spencer,Fulda,47536
Spencer,Gentryville,47537
Dubois,Holland,47541
Dubois,Huntingburg,47542
Dubois,Ireland,47545
Dubois,Jasper,47546
Dubois,Jasper,47547
Dubois,Jasper,47549
Spencer,Lamar,47550
Perry,Leopold,47551
Spencer,Lincoln City,47552
Martin,Loogootee,47553
Spencer,Mariah Hill,47556
Knox,Monroe City,47557
Daviess,Montgomery,47558
Knox,Oaktown,47561
Daviess,Odon,47562
Pike,Otwell,47564
Pike,Petersburg,47567
Daviess,Plainville,47568
Knox,Ragsdale,47573
Perry,Rome,47574
Dubois,Saint Anthony,47575
Perry,Saint Croix,47576
Spencer,Saint Meinrad,47577
Knox,Sandborn,47578
Spencer,Santa Claus,47579
Dubois,Schnellville,47580
Martin,Shoals,47581
Pike,Spurgeon,47584
Pike,Stendal,47585
Perry,Tell City,47586
Perry,Troy,47588
Pike,Velpen,47590
Knox,Vincennes,47591
Knox,Westphalia,47596
Knox,Wheatland,47597
Pike,Winslow,47598
Warrick,Boonville,47601
Warrick,Chandler,47610
Spencer,Chrisney,47611
Posey,Cynthiana,47612
Warrick,Elberfeld,47613
Warrick,Folsomville,47614
Spencer,Grandview,47615
Posey,Griffin,47616
Spencer,Hatfield,47617
Vanderburgh,Inglefield,47618
Warrick,Lynnville,47619
Posey,Mount Vernon,47620
Warrick,Newburgh,47629
Warrick,Newburgh,47630
Posey,New Harmony,47631
Posey,Poseyville,47633
Spencer,Richland,47634
Spencer,Rockport,47635
Warrick,Tennyson,47637
Posey,Wadesville,47638
Gibson,Haubstadt,47639
Gibson,Hazleton,47640
Gibson,Buckskin,47647
Gibson,Fort Branch,47648
Gibson,Francisco,47649
Gibson,Mackey,47654
Gibson,Oakland City,47660
Gibson,Owensville,47665
Gibson,Patoka,47666
Gibson,Princeton,47670
Gibson,Somerville,47683
Vanderburgh,Evansville,47701
Vanderburgh,Evansville,47702
Vanderburgh,Evansville,47703
Vanderburgh,Evansville,47704
Vanderburgh,Evansville,47705
Vanderburgh,Evansville,47706
Vanderburgh,Evansville,47708
Vanderburgh,Evansville,47710
Vanderburgh,Evansville,47711
Vanderburgh,Evansville,47712
Vanderburgh,Evansville,47713
Vanderburgh,Evansville,47714
Vanderburgh,Evansville,47715
Vanderburgh,Evansville,47716
Vanderburgh,Evansville,47719
Vanderburgh,Evansville,47720
Vanderburgh,Evansville,47721
Vanderburgh,Evansville,47722
Vanderburgh,Evansville,47724
Vanderburgh,Evansville,47725
Vanderburgh,Evansville,47727
Vanderburgh,Evansville,47728
Vanderburgh,Evansville,47730
Vanderburgh,Evansville,47731
Vanderburgh,Evansville,47732
Vanderburgh,Evansville,47733
Vanderburgh,Evansville,47734
Vanderburgh,Evansville,47735
Vanderburgh,Evansville,47736
Vanderburgh,Evansville,47737
Vanderburgh,Evansville,47739
Vanderburgh,Evansville,47740
Vanderburgh,Evansville,47741
Vanderburgh,Evansville,47744
Vanderburgh,Evansville,47747
Vanderburgh,Evansville,47750
Vigo,Terre Haute,47801
Vigo,Terre Haute,47802
Vigo,Terre Haute,47803
Vigo,Terre Haute,47804
Vigo,Terre Haute,47805
Vigo,Terre Haute,47807
Vigo,Terre Haute,47808
Vigo,Terre Haute,47809
Vigo,Terre Haute,47811
Vigo,Terre Haute,47812
Parke,Bellmore,47830
Vermillion,Blanford,47831
Parke,Bloomingdale,47832
Clay,Bowling Green,47833
Clay,Brazil,47834
Parke,Bridgeton,47836
Clay,Carbon,47837
Sullivan,Carlisle,47838
Clay,Centerpoint,47840
Clay,Clay City,47841
Vermillion,Clinton,47842
Clay,Coalmont,47845
Clay,Cory,47846
Vermillion,Dana,47847
Sullivan,Dugger,47848
Sullivan,Fairbanks,47849
Sullivan,Farmersburg,47850
Vigo,Fontanet,47851
Sullivan,Graysville,47852
Clay,Harmony,47853
Vermillion,Hillsdale,47854
Sullivan,Hymera,47855
Parke,Judson,47856
Clay,Knightsville,47857
Clay,Lewis,47858
Parke,Marshall,47859
Parke,Mecca,47860
Sullivan,Merom,47861
Parke,Montezuma,47862
Vigo,New Goshen,47863
Sullivan,Sullivan,47864
Sullivan,Paxton,47865
Vigo,Pimento,47866
Owen,Poland,47868
Vigo,Prairie Creek,47869
Vigo,Prairieton,47870
Vigo,Riley,47871
Parke,Rockville,47872
Parke,Rosedale,47874
Vermillion,Saint Bernice,47875
Vigo,Saint Mary Of The Woods,47876
Vigo,Seelyville,47878
